tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,4.748288,904.529623,3618.560158
iteracion,1,4.782656,898.029698,3592.557283
iteracion,2,4.746496,904.871112,3619.926280
iteracion,3,4.764832,901.389027,3605.996238
iteracion,4,4.754400,903.366881,3613.908620
iteracion,5,4.755424,903.172309,3613.130239
iteracion,6,4.747008,904.773583,3619.536114
iteracion,7,4.736576,906.766243,3627.507728
iteracion,8,4.746016,904.962662,3620.292524
iteracion,9,4.764096,901.528326,3606.553503
iteracion,10,4.792384,896.206807,3585.264830
iteracion,11,5.256448,817.085504,3268.740985
iteracion,12,6.024288,712.941873,2852.115608
iteracion,13,5.962816,720.291742,2881.518673
iteracion,14,4.789664,896.715820,3587.301131
iteracion,15,4.801664,894.474792,3578.335923
iteracion,16,4.803136,894.200666,3577.239286
iteracion,17,4.810496,892.832553,3571.766167
iteracion,18,4.807040,893.474384,3574.333804
iteracion,19,4.737280,906.631526,3626.968794
iteracion,20,4.749024,904.389486,3617.999540
iteracion,21,4.745856,904.993213,3620.414743
iteracion,22,4.753920,903.458036,3614.273285
iteracion,23,4.749792,904.243219,3617.414400
iteracion,24,4.745088,905.139632,3621.000490
iteracion,25,4.750688,904.072679,3616.732158
iteracion,26,4.771008,900.222193,3601.328332
iteracion,27,4.776256,899.233044,3597.371253
iteracion,28,4.740320,906.050037,3624.642554
iteracion,29,4.753408,903.555373,3614.662680
iteracion,30,4.761216,902.073577,3608.734774
iteracion,31,4.761344,902.049366,3608.637917
iteracion,32,4.767296,900.923174,3604.132599
iteracion,33,4.731264,907.784303,3631.580466
iteracion,34,4.753504,903.537154,3614.589798
iteracion,35,4.767360,900.911009,3604.083933
iteracion,36,4.739840,906.141825,3625.009752
iteracion,37,4.748032,904.578405,3618.755307
iteracion,38,4.751680,903.883971,3615.977235
iteracion,39,4.741952,905.738259,3623.395290
iteracion,40,4.749280,904.340725,3617.804472
iteracion,41,4.756448,902.977912,3612.352555
iteracion,42,4.751904,903.841342,3615.806695
iteracion,43,4.752064,903.810868,3615.684787
iteracion,44,4.762720,901.788725,3607.595228
iteracion,45,6.203872,692.304283,2769.555170
iteracion,46,6.082112,706.163815,2825.000066
iteracion,47,6.082784,706.085761,2824.687814
iteracion,48,6.796608,631.928061,2528.020802
iteracion,49,6.150400,698.323228,2793.633891
iteracion,50,5.927328,724.604276,2898.770916
iteracion,51,4.818112,891.421243,3566.120237
iteracion,52,4.810016,892.921595,3572.122376
iteracion,53,5.243488,819.105037,3276.820101
iteracion,54,6.217440,690.793511,2763.511346
iteracion,55,6.560096,654.711065,2619.163941
iteracion,56,4.814304,892.126340,3568.940969
iteracion,57,4.793632,895.973506,3584.331510
iteracion,58,4.817920,891.456710,3566.262120
iteracion,59,4.813984,892.185635,3569.178176
iteracion,60,4.820640,890.953736,3564.249980
iteracion,61,4.822656,890.581281,3562.759978
iteracion,62,4.798080,895.142917,3581.008748
iteracion,63,5.275936,814.067341,3256.666859
promedio,,5.015808,864.356750,3457.849049
min,,4.731264,631.928061,2528.020802
max,,6.796608,907.784303,3631.580466
total,,1427.000000,,
